phage,integrase,repressor,holin
Annabelle,0,0,0
Annairb,0,0,0
AnnaL29,0,1,0
Annexa,0,0,0
Annibelle,0,0,0
Annie,0,0,0
AnnieAbelard,0,0,0
Anniej,0,0,0
Annifia,0,0,0
Annihilator,1,1,1
Annjone,0,0,0
Annly,0,0,0
Annyong,1,1,1
Annys,0,0,0
Anokha,0,0,0
Anonia,0,0,0
Anonymous,0,0,0
Ansel,0,0,0
Anselm,1,1,1
Ansem,0,0,0
Ant1Dodson,0,0,0
Antagonist,0,0,0
Antal,0,0,0
AntBite,0,0,0
Antetokounmpo,0,0,0
Antheia,0,0,0
Anthony,1,2,1
Anthouse18,0,0,0
Anthyrobi,0,0,0
Antihero,0,0,0
AntiPops,0,0,0
Antiswag,0,0,0
Antle,0,0,0
AntMan23,0,0,0
Antonesca,0,0,0
Antonia,0,0,0
Ants,0,0,0
Antsirabe,0,0,1
AntsNPlants,0,0,0
Anubis,1,1,0
AnulusNox,0,0,0
Anya,0,0,0
Anyambirtok,0,0,0
Anyanwu,0,0,0
Anzano,0,0,0
Anzhelals,0,0,0
AoifeLeo,0,0,0
Aonishiki,0,0,0
Aotearoa,0,0,0
Ap0103,0,0,0
AP5Beta,0,0,0
Apartment5,0,0,0
Apathy,0,0,0
APE308,0,0,0
Apease,0,0,0
APengTing,0,0,0
Apetito,0,0,0
Apex,0,0,1
Aphnan,0,0,0
Aphogato17,0,0,0
Aphrodite,0,0,0
Apin77,0,0,0
Apizium,0,0,0
Aplaquealypse,0,0,0
Apocalypse,1,1,1
Apokalupsis,0,0,0
Apollo,0,0,0
Apollo13,0,0,0
Apollo19,0,0,0
Apollumi,0,0,0
Apparition,0,0,0
Appbott,0,0,0
Apple,0,0,0
Applecrisp,1,2,1
Applejack,0,1,0
AppleStrudel,0,0,0
AppleTac,0,0,0
Appletree2,1,0,0
Apricity,0,0,0
April,0,0,0
Aqua,0,0,0
Aquage,0,0,0
Aquanaut,0,0,0
Aquap1,0,0,0
Aquaphant,0,0,0
Aquaphresh,0,0,0
Aquarose,0,0,0
AquaticRice,0,0,0
AquaVermis,0,0,0
Aquila,0,0,0
AquilaMYB,0,0,0
Araba,0,0,0
Arabica,0,0,0
Arachne,0,0,0
Aragog,1,1,0
Araneam,0,0,0
Arayna,0,0,0
Arbiter,0,0,0
Arbol,0,0,0
Arbys,0,0,0
Arcadian,0,0,0
Arcanine,1,1,0
Archangel,0,0,0
Archer,0,0,0
ArcherBoy,0,0,0
ArcherNM,0,1,1
ArcherS7,0,0,1
Archetta,1,1,0
Archibald,0,0,0
ArchibaldJ,0,0,0
Archibolt,0,0,0
Archie,1,1,0
Arcie,0,0,0
Arcturus,0,0,0
ArcusAngelus,1,1,1
Ardastra,0,0,0
Ardayla,0,0,0
Ardmore,1,0,1
AreaCodes,0,0,0
Areg16,0,0,0
Ares,0,0,1
Aresa,0,0,0
AreToDeeTo,0,0,0
Arewe,0,0,0
Arey123,0,0,0
Argel7,0,0,0
Argent26,1,1,1
Argh,0,0,0
Argie,0,0,1
Argo,0,0,0
Argonaut,0,0,0
Ariando,0,0,0
Arib1,1,2,0
Arie,0,0,0
Ariel,1,0,1
Arielle,0,0,0
ArielleDownes,0,0,0
Arienne,0,0,0
Ariess,0,0,0
ArigunDD10,0,0,0
ArigunHALO,0,0,0
ArigunLND,0,0,0
AriLen,0,0,0
Arissanae,0,1,1
Ariweezy,0,0,0
Arizona,0,0,0
ArKay,0,0,0
Arlex5,0,0,0
Arley,0,0,0
Arlo,1,1,0
