phage,integrase,repressor,holin
Bernicus,0,0,0
Bernie,0,0,0
Bernie1,0,0,0
Berns,0,0,0
BernSPeck,0,0,0
Berrypop,0,0,0
Bert1,0,0,0
Berta,0,0,0
Bertblest,0,0,0
Berte,0,0,0
Bertha,0,0,0
Bertinha,0,0,0
Bertram,0,0,0
Bertrand,0,0,0
Besperis,0,0,0
Besticalplatus,0,0,0
Bestly69,0,0,0
BestPHever,0,0,0
BestPhriend,0,0,0
Betelgeuse,0,0,0
Beth10,0,0,0
Bethlehem,0,0,0
Beto,0,0,0
Betsyboy,0,0,0
BetsyGirl,0,0,0
BetterCallSaul,0,0,0
Betty,0,0,0
Betwixt,0,0,0
Bexan,1,1,0
Bey14,0,0,0
Beyer,0,0,0
Beyonce,0,0,0
BeyonceQueen,0,0,0
Bezza,0,0,0
BFelo,0,0,0
Bfree1,0,0,0
BGlluviae,1,1,1
Bhagsy,1,2,1
Bhala,0,0,0
Bham,0,0,0
BheemBoozled,0,0,0
BhocolateBhip,0,0,0
Bhonjo,0,0,0
Biaggio,0,0,0
BiancaTri92,1,1,1
Bianchetti,0,0,0
Biblo,0,0,0
Biby,0,0,0
Bico22,0,0,0
Biddle,0,0,0
Biebs,0,0,0
Big20,0,0,0
Big3,1,1,0
BigAL,0,0,0
BigBaloo,0,0,0
BigbangHeart,0,0,0
BigBean,0,0,0
BigBen,0,0,0
BigBen2,0,0,0
BigBertha,0,0,0
BigBill,0,0,0
BigBird,0,0,0
Bigboom,0,0,0
BigBoring,0,0,0
BigBoy,0,0,0
BigBoyMona,0,0,0
Bigbrain,0,0,0
BigBubba,1,1,1
BigBull15,0,0,0
BigButte,0,0,0
Bigcat300,0,0,0
BigCheese,1,1,0
Bigchungi,1,1,0
BigCity,0,0,0
BigDaddy,0,0,0
BigDev,0,0,0
BigDip,0,0,0
BigDrop,0,0,0
BigFilliam,0,0,0
BigFish,0,0,0
Bigflo,0,0,0
Bigfoot,1,1,0
BigFudge,0,0,0
BiggestBird,0,0,0
Biggie,0,0,0
BiggieMac,0,0,0
BiggieSmalls,0,0,0
BigHagar,0,0,0
BigHalo2,0,0,0
Bighead,0,0,0
BigJames,0,0,0
BigKite,0,0,0
BigKitty,0,0,0
Biglebops,1,1,1
BigLiz,0,0,0
BigMama,0,0,0
BigMamaLlama,0,0,0
Bigman,0,0,0
BigMau,1,1,0
BigMoney,0,0,0
BigNuz,1,1,0
BigP,0,0,0
BigPain,0,0,0
BigPaolini,1,1,0
BigPapa,0,0,0
BigPaPi,0,0,0
BigPhil,1,1,1
BigPop,0,0,0
BigPoppa,0,0,0
Bigpopper33,0,0,0
BigRed,0,0,0
BigRedd,0,0,0
BigRich,0,0,0
BigRon11,0,0,0
BigSir,0,0,0
BigSky,0,0,0
BigSlim,0,0,0
BigSmitty,0,0,0
BigSpikes,0,0,0
Bigswole,0,0,1
BigTheodore,0,0,0
BigYeez,0,0,0
Bijou,0,0,0
Biken,0,0,0
Biko,0,0,0
Bilahkay,0,0,0
Bilbo,0,0,0
BilboSwaggins,1,1,1
Bill,0,0,0
Billiam,0,0,0
Billiken,0,0,0
Billius,0,0,0
BillKnuckles,1,1,0
Billy,0,0,0
Billy2024,0,0,0
BillyBobSr,0,0,0
BillyButtons,0,0,0
BillyMays,0,0,0
BillyP,0,0,0
Bilmar,0,0,0
BilyBobJoe,0,0,0
Binebulous,0,0,0
Bingdu,0,0,0
Bingley,0,0,0
Bingo,0,0,0
Bingus,0,0,0
Bink,0,0,0
Binksey,0,0,0
Binky,0,0,0
Binubare,0,0,0
